year_month,cluster,mktcap_wt_excess_return,r_t1_wmean,r_t2_wmean,r_t3_wmean,rt2g_wmean,rt3g_wmean,n_permnos,mktcap_sum
1977-01,0,-0.001941300445464742,-0.021507044309622244,-0.00025146479320768374,0.029354916020540356,-0.021988318061313402,0.007554938365155396,60,16753093.625
1977-02,0,-0.013863853984308889,-0.0005132229107527401,0.02140672766817232,-0.003947451106221727,0.021232868897494327,0.017457175823750424,62,16364868.78125
1977-03,0,-0.004547623871807001,0.014771375890836597,-0.009287306095881524,0.0425183213213774,0.005872801974692629,0.0473904509444723,68,16558644.875
1977-04,0,0.012398169766503766,-0.00724707676924359,0.04888809116608522,-0.03658493698888723,0.040966377625898054,0.0020625096142400257,57,13826778.3125
1977-05,0,-0.02692151646195463,0.05501968002350947,-0.00858021434845048,-0.015295756283940212,0.04638224057120394,0.030021405801148895,75,10221171.9375
1977-06,0,0.06229938072822667,-0.013473248953320959,-0.018112405356950446,-0.016665860051293856,-0.03085304499742363,-0.04678256821156432,86,11496023.25
1977-07,0,-0.017704633113574182,-0.011872697443343577,-0.019413623519106714,-0.03359175033077547,-0.031057178035552465,-0.063678680115604,72,10424367.0
1977-08,0,-0.02357615492858475,-0.021795473961585845,-0.036524619973453,0.06696430903021747,-0.05837719004630641,0.004731763767029537,74,11093704.5
1977-09,0,-0.03884709108934587,-0.023607473342241152,0.07097424966159288,-0.011645238894852836,0.045017784391565084,0.03399365261951417,73,12803643.375
1977-10,0,-0.036602781598109785,0.0827635600307631,0.0011141907124648043,-0.044296022691209934,0.08554500027923036,0.036885598082558646,76,14421972.25
1977-11,0,0.07824393914028811,-0.0023216786299634852,-0.03688881216396823,-0.020969953287656863,-0.03893179635907705,-0.06261167750888065,78,13361135.375
1977-12,0,0.004667704096012172,-0.04717038000444019,-0.01249164407351627,0.05728181835624369,-0.05953799625245456,-0.005499363667391193,72,14085004.5
1978-01,0,-0.05790547551478542,-0.012205804190109273,0.05970966307817479,0.0856502213503937,0.04654629952672516,0.13475159072571782,78,13894718.1875
1978-02,0,-0.02178779738799544,0.046546317689203254,0.09119250636914086,0.03439623311919105,0.14142316089265577,0.1792985926147134,76,14132096.375
1978-03,0,-0.0018419265367331415,0.11256447061944086,0.006224565568904317,-0.030968023915136405,0.11783419590427113,0.08335269732203396,68,20889463.75
1978-04,0,0.11099328291407987,0.009886452792288144,-0.032034076347426395,0.053521947686159435,-0.021967897178099962,0.0321656085855353,77,24277057.6875
1978-05,0,0.005469978155839694,-0.033628841578853104,0.045637695757429854,0.02054310896722005,0.011401005218208913,0.030986578860073756,71,23509464.0
1978-06,0,-0.041907482312193135,0.04984988427190882,0.02556135209333756,-0.024760318841217523,0.07637677207723298,0.048032241857462014,86,23366801.3125
1978-07,0,0.03510402444339236,0.024474945806541158,-0.02319620679819205,-0.14447892124494408,-0.0013601794974532745,-0.14782643029564482,74,23152755.0
1978-08,0,0.026633578557826696,-0.023018963621425133,-0.1442686544636432,0.027128706649709552,-0.16374609331677406,-0.14167415310504308,80,25057430.875
1978-09,0,-0.03127010543698157,-0.15627712109174868,0.03233556495679114,-0.027385463210044574,-0.12903574750154911,-0.155555552119027,88,21646385.625
1978-10,0,-0.19039233982714332,0.04180585643441955,0.002169128248696859,0.08213782778471167,0.04321081955625963,0.12670127033503337,95,8843505.0625
1978-11,0,0.03504496175645972,0.00922481877449195,0.07780499505456406,-0.04618432613925667,0.08585707371033158,0.0268091872101775,97,9245092.375
1978-12,0,-0.053914081283244576,0.08140117949798759,-0.04810162869990522,0.06258158435643102,0.029649688485249927,0.09480155148844589,94,14539926.9375
1979-01,0,0.07576674663205638,-0.04242872297520596,0.05866894405832452,-0.004685851552303594,0.013497072511764466,0.009263765413924064,94,19774707.125
1979-02,0,-0.05404366107977012,0.0713652225494252,-0.0037141949704037652,-0.03518360004290733,0.06827534250795775,0.03473590132347941,97,14831665.1875
1979-03,0,0.06250872793136321,-0.003795545690203973,-0.03339207137924035,0.01362431426112397,-0.03569177997611126,-0.024659021276531662,98,15720830.9375
1979-04,0,0.019154914055784435,-0.036649357883092246,0.022977007106312296,0.003462306389638159,-0.015540405686384597,-0.014537861853531111,113,18713681.625
1979-05,0,-0.032540596911802014,0.01834593345652257,0.012525655292201492,0.07624310674096976,0.028862969928738703,0.10468505724354205,91,15166075.1875
1979-06,0,0.03199365393483033,0.0476946801718598,0.06851116801716738,-0.01823247074639442,0.11757436474164919,0.09856106458198932,108,12101491.4375
1979-07,0,0.038350368502004906,0.07438905412494255,-0.026538643378692446,-0.11253758527412454,0.04513470151161378,-0.07213532006958741,115,11358340.0
1979-08,0,0.09566723996974034,-0.011592998974337621,-0.10374154625990323,0.04045327953562921,-0.11370766941969887,-0.0790972696396493,82,12851938.625
1979-09,0,-0.015111706089618827,-0.10659641974446595,0.048205877473991215,0.0372475392715963,-0.06306464119771944,-0.028750636960175897,89,12469774.75
1979-10,0,-0.13418617763120036,0.0336116010721682,0.03595137489823912,0.03502192415424396,0.07039919797109292,0.10723176810872212,105,9999154.125
1979-11,0,0.03433235716073818,0.03467882525379913,0.03889821159321485,-0.02436368971768626,0.07506897538381549,0.04759855113726496,111,10635520.5625
1979-12,0,0.02699796684856797,0.047142399391708424,-0.03125384143961843,-0.1526601559965127,0.012415251681469234,-0.14768158506266216,84,10334312.25
1980-01,0,0.05965838511204265,-0.0379712988922174,-0.16059285715234312,0.060312841089711744,-0.19302674596707622,-0.14748647708347198,79,12141423.875
