year_month,cluster,mktcap_wt_excess_return,r_t1_wmean,r_t2_wmean,r_t3_wmean,rt2g_wmean,rt3g_wmean,n_permnos,mktcap_sum
1977-01,0,-0.001941300445464742,-0.021507044309622244,-0.00025146479320768374,0.029354916020540356,-0.021988318061313402,0.007554938365155396,60,16753093.625
1977-02,0,-0.013863853984308889,-0.0005132229107527401,0.02140672766817232,-0.003947451106221727,0.021232868897494327,0.017457175823750424,62,16364868.78125
1977-03,0,0.0036544194706668253,0.015017835082330207,-0.0064852251661651,0.04239488189538281,0.00890161280548276,0.050589749678176615,70,19006001.625
1977-04,0,0.011487420275027393,-0.006432808701514566,0.04685440193688754,-0.034526900741007005,0.039841278104142584,0.003860230162007671,70,14463013.75
1977-05,0,-0.02463626952024932,0.05337073897999338,-0.0022151294919979603,-0.008121611881879215,0.051592053944309484,0.04264663025836002,74,9546075.875
1977-06,0,0.06133852243518697,-0.010217236372777022,-0.013852015696066726,-0.01636506163352411,-0.023558829003076764,-0.03927814693582451,84,10951176.375
1977-07,0,-0.016304848975660063,-0.01148411553916375,-0.01939656849204764,-0.033120531327823347,-0.030758342054731488,-0.0629102466346303,76,10561905.125
1977-08,0,-0.022399068886438753,-0.022445510595196123,-0.03699079181332143,0.066747444892329,-0.05947647484211427,0.0034229324872092778,78,11305029.0
1977-09,0,-0.0349499996014042,-0.028517393133023688,0.07293756013499107,-0.011502442646027171,0.04178525064759315,0.03054291608622223,81,14873464.0
1977-10,0,-0.030010690553016757,0.0639754953909936,0.005531801600284345,-0.05015071923818855,0.07098968157691,0.01728641436465481,82,17028833.0
1977-11,0,0.0765799852482782,0.00709963961758079,-0.055183591524888,-0.027233604157321258,-0.04873167189094065,-0.07645303711047967,91,22454699.125
1977-12,0,0.008078514143487509,-0.04687710419737667,-0.024566510717032846,0.05361606149412774,-0.07046263816058604,-0.020386985273376047,76,20102958.125
1978-01,0,-0.04690394232482509,-0.020284507942107177,0.04769017974922684,0.09013171141677209,0.026680913204933494,0.11732938846439482,83,21228418.5
1978-02,0,-0.026184519552083365,0.04227970876720751,0.0922881214372733,0.02628670953133456,0.13724029561589504,0.1639214748006034,68,20293235.4375
1978-03,0,-0.0001709420737507197,0.1062584844103412,0.005924570693749259,-0.03372613448522051,0.11144927093019952,0.07369550803091514,66,22858033.125
1978-04,0,0.10288539240138751,0.015000871278859417,-0.03484285607103733,0.054021363981613536,-0.019977227950659905,0.0345796664043037,75,26254712.6875
1978-05,0,0.010462760465288821,-0.03600501905601687,0.06268450394609375,0.023433803706232725,0.025067518792420456,0.04816421002953587,78,26434892.125
1978-06,0,-0.022412519873065757,0.05823389607131444,0.02258272370176584,-0.01541355690759038,0.0817383662047303,0.06382293045541193,84,30096820.5625
1978-07,0,0.048163167222282026,0.02599911794438705,-0.020755712445767936,-0.1439372454309431,0.0032596056392608435,-0.14260170206047681,61,22889710.5
1978-08,0,0.04057370011039901,-0.02541454835492725,-0.148593379969059,0.030448130468054366,-0.1698231720687067,-0.14535597086378735,78,24474176.0
1978-09,0,-0.02154546173674399,-0.1450060506340828,0.035374881725812775,-0.02242631507118184,-0.11447040998101772,-0.13592918916681393,66,22314515.0
1978-10,0,-0.15520796540599788,0.04162514885104027,-0.01434955448477882,0.05434659859732361,0.025252098926151368,0.0802278117683692,82,23910846.5
1978-11,0,0.04969081751356939,-0.014930354323984896,0.0530048736507083,-0.04777506058528666,0.03592625871649961,-0.017039294634178383,83,25860622.125
1978-12,0,-0.019499252894461905,0.05580547926987869,-0.035648235229844394,0.0627665079803983,0.017052790297060482,0.08178875193199801,80,21757284.3125
1979-01,0,0.056847455161095566,-0.03940912141301739,0.07159455573011766,-0.00350881372391331,0.02969286505935322,0.026627254005554785,87,23092149.125
1979-02,0,-0.04420600245885525,0.06486359570838826,-0.004015260662341166,-0.032587399242294784,0.061287684668991045,0.028800150346982457,88,19089320.125
1979-03,0,0.08296676291767922,-0.002647043148766678,-0.03563030101154925,0.032630910711950206,-0.03648744864122488,-0.01288456097811698,90,18580668.375
1979-04,0,0.01919625254141616,-0.029324818149286957,0.026919255746406627,0.01566946698831833,-0.00906958352796578,0.004035029215182377,90,18589661.5625
1979-05,0,-0.015547931770437583,0.030738179743264968,0.007449792539579776,0.08063960779712882,0.03460114702617797,0.11776806792976027,81,16646944.375
1979-06,0,0.12136598889931077,0.03444581432334581,0.06227892604334502,-0.02450459914542555,0.09759541474932946,0.07621591720698911,102,15328106.1875
1979-07,0,0.04386503132321187,0.06772760052462012,-0.01507307012996671,-0.09835550336270532,0.055566916345527094,-0.04711341390950813,80,12758346.0
1979-08,0,0.12596327178547798,0.008637793152624014,-0.10124441398715993,0.07512393897815342,-0.09148236339686586,-0.02346287993567399,79,12868008.625
1979-09,0,0.0205943589274937,-0.10104981461043137,0.0692268742803177,0.0514550786961646,-0.039040802912822054,0.009953034890337525,96,15550475.125
1979-10,0,-0.08316387122953471,0.07096905577543575,0.04678759862853886,0.03896046633779903,0.11914357049371761,0.16615734938796473,78,13434604.8125
1979-11,0,0.0812043441495816,0.037745483790915135,0.03863552485106053,-0.0022647349048056315,0.07579350443764456,0.07231470572411602,84,15602458.3125
1979-12,0,0.05858445833754359,0.026542131265880276,0.0006231837504342404,-0.17574926917247793,0.025567777995006775,-0.15723722673007015,71,11955129.625
1980-01,0,0.07468196872388778,-0.031618600361355845,-0.17819429934108658,0.051733934096599904,-0.2059631836452256,-0.166433073243895,82,13950611.0
